n,t(n),lgn,lgn*2.46164739e+08,sqrt(n),sqrt(n)*10243252.43256958,n,n*56216.28391798,nlgn,nlgn*3796.83164013,n^2,n^2*2.00457971,n^3,n^3*6.71247904e-05,lgn - n,sqrt(n) - c,n - c,nlgn - c,n^2 - c,n^3 - c,,,,,,,,,,,,,,,,,,
8562,147794135,13.06373212,3215830208,92.53107586,947819167.9,8562,481323822.9,111851.6744,424681976.4,73307844,146951416.7,6.28E+11,42154368.37,147794121.9,147794042.5,147785573,147682283.3,74486291,6.28E+11,,,,,,,,,,,,,,,,,,
9418,178707480,13.20120501,3249671186,97.04638066,994070574.8,9418,529444961.9,124328.9488,472056086.6,88698724,177803662.4,8.35E+11,56049199.98,178707466.8,178707383,178698062,178583151.1,90008756,8.35E+11,,,,,,,,,,,,,,,,,,
10359,216050237,13.33859712,3283492279,101.7791727,1042549758,10359,582344485.1,138174.5276,524625418.3,107308881,215109205.6,1.11E+12,74508517.34,216050223.7,216050135.2,216039878,215912062.5,108741356,1.11E+12,,,,,,,,,,,,,,,,,,
11394,261237743,13.47598669,3317312746,106.7426812,1093392229,11394,640528339,153545.3924,582986004.1,129823236,260241024.8,1.48E+12,99344689.79,261237729.5,261237636.3,261226349,261084197.6,131414507,1.48E+12,,,,,,,,,,,,,,,,,,
12533,315892253,13.61344417,3351149931,111.9508821,1146741145,12533,704558686.3,170617.2958,647805147,157076089,314871540.9,1.97E+12,132235837.1,315892239.4,315892141,315879720,315721635.7,158816164,1.97E+12,,,,,,,,,,,,,,,,,,
13786,382023432,13.7509163,3384990722,117.4137982,1202699174,13786,774997690.1,189570.1321,719765875.6,190053796,380977983.3,2.62E+12,175866950.8,382023418.2,382023314.6,382009646,381833861.9,191969636,2.62E+12,,,,,,,,,,,,,,,,,,
15164,461991110,13.88836274,3418825189,123.1421942,1261376580,15164,852463729.3,210603.1326,799624637.4,229946896,460946882.1,3.49E+12,234265518.5,461991096.1,461990986.9,461975946,461780506.9,232044214,3.49E+12,,,,,,,,,,,,,,,,,,
16680,558758006,14.02583167,3452665192,129.1510743,1322927056,16680,937687615.8,233950.8722,888272073.8,278222400,557718977.9,4.64E+12,311459027.5,558757992,558757876.8,558741326,558524055.1,280535606,4.64E+12,,,,,,,,,,,,,,,,,,
18347,675782711,14.16325656,3486494354,135.4510982,1387459791,18347,1031400161,259853.2681,986619110.1,336612409,674766405.2,6.18E+12,414831204.7,675782696.8,675782575.5,675764364,675522857.7,339170302,6.18E+12,,,,,,,,,,,,,,,,,,
20181,817351760,14.30071004,3520330555,142.0598465,1455154868,20181,1134500826,288602.6294,1095775595,407272761,816410713.1,8.22E+12,551765777.1,817351745.7,817351617.9,817331579,817063157.4,410078999,8.22E+12,,,,,,,,,,,,,,,,,,
22199,988686428,14.43820707,3554177475,148.9932884,1526175864,22199,1247945287,320513.7587,1216936780,492795601,987848062.9,1.09E+13,731660215.4,988686413.6,988686279,988664229,988365914.2,495890827,1.09E+13,,,,,,,,,,,,,,,,,,
24418,1195864044,14.57565742,3588012905,156.2625995,1600637252,24418,1372689221,355908.4028,1351324285,596238724,1195208048,1.46E+13,980021939.8,1195864029,1195863888,1195839626,1195508136,599625320,1.46E+13,,,,,,,,,,,,,,,,,,
26859,1446561146,14.71311797,3621850845,163.8871563,1678737512,26859,1509913170,395179.6356,1500430544,721405881,1446115592,1.94E+13,1302220934,1446561131,1446560982,1446534287,1446165966,725155265,1.94E+13,,,,,,,,,,,,,,,,,,
29544,1749827456,14.85057755,3655688547,171.8836816,1760647940,29544,1660853892,438745.4631,1665842656,872847936,1749693262,2.58E+13,1731819592,1749827441,1749827284,1749797912,1749388711,876979520,2.58E+13,,,,,,,,,,,,,,,,,,
32498,2116782044,14.98806331,3689532693,180.2720167,1846571774,32498,1826916795,487082.0816,1849368659,1056120004,2117076731,3.43E+13,2302380311,2116782029,2116781864,2116749546,2116294962,1060662040,3.43E+13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MSE,2.46E+08,9.33E+18,10243252.43,9.17E+17,56216.28392,4.81E+17,3796.83164,4.52E+17,2.00457971,8.88E+16,6.71E-05,6.76E+25,,,,,,,,,,,,,,,,,,,,,,,,
